"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"James Conner","ARI","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Jaylen Wright","MIA","77.8","299.1","1.5","7.2","51.9","0.1","1.2","42.2"
"Jawhar Jordan","HOU","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"Emmett Johnson","KC","49.5","205.3","1.6","8.4","59.2","0.4","0.2","37.8"
"Kendre Miller","NO","52.4","209.8","2.1","4.0","28.5","0.0","0.0","36.7"
"MarShawn Lloyd","GB","50.6","211.5","1.5","6.5","48.6","0.3","0.2","36.6"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","33.1"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","17.0","0.0","0.0","31.3"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.8","208.0","1.5","0.1","31.2"
"Jaydon Blue","DAL","44.2","186.4","1.4","4.4","30.8","0.2","0.2","30.9"
"Ollie Gordon II","MIA","45.1","185.2","1.1","3.9","27.7","0.1","0.2","28.3"
"Ray Davis","BUF","32.3","137.8","1.1","7.8","60.0","0.4","0.2","28.1"
"Isaiah Davis","NYJ","26.4","135.0","0.9","9.9","78.2","0.2","0.0","27.7"
"DJ Giddens","IND","33.6","141.5","1.0","8.6","56.7","0.3","0.2","27.3"
"Sean Tucker","TB","34.4","145.4","2.0","0.5","3.0","0.0","0.1","26.6"
"Ty Chandler","NO","54.0","144.0","1.0","12.0","57.0","0.0","0.0","26.1"
"Elijah Mitchell","PHI","35.0","159.0","1.0","2.0","22.0","0.0","0.0","24.1"
"Jam Miller","NE","34.0","156.0","1.0","2.0","25.0","0.0","0.0","24.1"
"LeQuint Allen Jr.","JAC","8.0","33.9","0.2","21.7","148.0","0.8","0.1","24.1"
"Phil Mafah","DAL","32.0","142.0","1.0","4.0","34.0","0.0","0.0","23.6"
