"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Christian Watson","GB","56.0","901.6","7.4","1.7","8.0","0.0","0.3","134.9"
"Luther Burden III","CHI","72.6","957.9","5.7","7.7","38.2","0.1","0.3","134.0"
"Mike Evans","SF","65.1","914.7","6.7","0.0","0.0","0.0","0.2","131.4"
"Jaylen Waddle","DEN","72.9","960.3","5.7","1.7","12.4","0.0","0.3","130.8"
"DK Metcalf","PIT","64.2","923.8","6.0","0.7","3.3","0.3","0.2","130.5"
"Marvin Harrison Jr.","ARI","67.2","945.3","6.0","0.0","0.0","0.0","0.3","130.0"
"Brian Thomas Jr.","JAC","55.7","837.7","5.3","2.7","18.0","0.4","0.2","119.6"
"Parker Washington","JAC","60.9","844.0","5.4","5.3","13.6","0.1","0.4","117.8"
"Quentin Johnston","LAC","53.6","755.9","6.9","1.7","6.3","0.0","0.7","116.1"
"Jakobi Meyers","JAC","70.6","814.8","5.4","4.7","23.0","0.1","0.8","115.1"
"Carnell Tate","TEN","66.3","902.7","4.5","0.7","3.0","0.0","1.4","115.1"
"Jayden Reed","GB","62.8","757.8","4.8","12.0","86.6","0.1","0.4","113.3"
"Jordan Addison","MIN","54.5","747.3","5.4","2.7","37.1","0.4","0.2","112.6"
"Xavier Worthy","KC","55.1","721.8","4.2","15.5","99.3","0.9","0.2","112.1"
"Chris Godwin Jr.","TB","70.1","802.7","5.2","0.3","0.3","0.0","0.3","110.9"
"Michael Pittman Jr.","PIT","81.1","811.7","5.0","0.0","0.0","0.0","0.3","110.3"
"Jordyn Tyson","NO","63.2","856.5","4.3","0.7","3.3","0.0","1.3","109.2"
"Makai Lemon","PHI","58.3","821.3","4.7","1.5","7.0","0.0","1.3","108.6"
"Michael Wilson","ARI","66.3","810.6","4.4","0.0","0.7","0.0","0.2","107.2"
"Romeo Doubs","NE","57.8","751.3","5.3","0.0","0.0","0.0","0.3","106.5"
"Wan'Dale Robinson","TEN","83.0","833.8","3.6","2.0","9.5","0.1","0.3","105.9"
"Calvin Ridley","TEN","48.1","784.9","3.3","4.5","27.5","0.6","0.2","104.3"
"Ricky Pearsall","SF","57.8","800.6","3.6","2.8","14.2","0.1","0.3","102.9"
"Matthew Golden","GB","54.9","731.6","4.2","5.5","27.3","0.1","0.4","101.0"
"Khalil Shakir","BUF","73.4","758.1","4.2","1.1","5.5","0.0","0.8","100.4"
"Rashid Shaheed","SEA","45.9","698.2","3.2","13.4","88.8","0.3","0.8","98.1"
"John Metchie III","CAR","65.0","617.0","6.0","3.0","-4.0","0.0","0.0","97.7"
"Theo Wease Jr.","MIA","48.0","685.0","5.0","2.0","8.0","0.0","1.0","97.3"
"Josh Downs","IND","76.8","714.8","4.3","2.1","6.4","0.0","0.8","96.8"
"Jalen Coker","CAR","57.4","694.7","4.6","0.0","0.0","0.0","0.8","95.3"
"Rashod Bateman","BAL","38.4","593.9","6.0","0.0","0.0","0.0","0.2","95.0"
"Tre Tucker","LV","50.1","633.5","3.8","11.2","52.9","0.2","0.1","91.9"
"Tank Dell","HOU","50.0","633.2","3.8","10.2","48.8","0.1","0.2","91.4"
"Jerry Jeudy","CLE","54.2","746.8","2.9","0.5","2.0","0.0","0.7","90.5"
"KC Concepcion","CLE","55.7","707.8","3.1","4.2","22.4","0.1","1.3","89.8"
"Jayden Higgins","HOU","49.3","608.7","4.7","0.0","0.0","0.0","0.2","88.7"
"Jalen McMillan","TB","46.6","606.8","3.9","4.7","26.8","0.1","0.2","87.2"
"Jauan Jennings","MIN","48.7","556.5","5.2","0.0","0.0","0.0","0.7","85.2"
"Jalen Nailor","LV","42.0","566.4","4.4","2.0","8.5","0.0","0.2","83.7"
"Antonio Williams","WAS","44.4","600.1","3.6","3.5","18.7","0.1","1.2","81.7"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","77.7"
"Denzel Boston","CLE","48.8","612.0","2.9","1.0","5.0","0.0","0.8","77.4"
"Adonai Mitchell","NYJ","38.5","563.9","3.3","2.2","11.2","0.1","0.5","76.9"
"Omar Cooper Jr.","NYJ","46.3","550.3","3.3","2.1","12.5","0.1","1.2","74.1"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","73.5"
"Darnell Mooney","NYG","36.5","534.8","2.8","1.1","6.0","0.0","0.1","70.6"
"Kayshon Boutte","NE","30.3","462.5","4.0","0.0","0.0","0.0","0.1","70.3"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","70.0"
"Bub Means","NO","38.0","517.0","3.0","1.0","7.0","0.0","1.0","68.4"
"Tyquan Thornton","KC","25.4","465.9","3.5","0.0","0.0","0.0","0.1","67.2"
"Darius Slayton","NYG","35.4","521.0","2.5","1.6","8.6","0.0","0.7","66.8"
"Ja'Kobi Lane","BAL","30.4","458.7","3.4","1.5","8.5","0.0","0.6","66.0"
"Christian Kirk","SF","39.5","472.5","3.0","0.0","0.0","0.0","0.1","65.3"
"Chris Bell","MIA","40.4","535.2","2.0","0.0","0.0","0.0","0.4","64.4"
"Tory Horton","SEA","30.3","400.9","4.2","0.5","3.0","0.0","0.6","64.1"
"Malik Washington","MIA","43.5","389.6","2.3","13.4","80.2","0.7","0.8","63.4"
"Nick Westbrook-Ikhine","IND","34.3","432.7","3.0","0.0","0.0","0.0","0.3","60.9"
"Troy Franklin","DEN","36.5","395.9","3.4","3.0","10.8","0.0","0.6","60.1"
"Isaac TeSlaa","DET","25.4","351.8","4.1","0.0","0.0","0.0","0.1","59.6"
"Devaughn Vele","NO","35.1","422.8","2.8","0.0","0.0","0.0","0.1","59.1"
"Hollywood Brown","PHI","31.3","389.3","3.3","0.0","0.0","0.0","0.1","58.3"
"Jack Bech","LV","41.4","483.0","1.8","0.0","0.0","0.0","0.4","58.1"
"De'Zhaun Stribling","SF","32.3","437.4","2.5","1.5","6.5","0.0","0.6","58.1"
"Andrei Iosivas","CIN","31.1","393.6","2.9","2.5","11.1","0.0","0.1","57.8"
"Caleb Douglas","MIA","34.6","440.0","2.3","1.0","5.5","0.0","0.7","57.2"
