"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Sam Darnold","SEA","506.3","336.7","4,087.9","27.3","12.8","44.0","131.8","0.6","5.3","266.4"
"","low","496.0","335.1","4,011.7","24.0","13.0","40.0","125.0","0.0","6.0","242.3"
"C.J. Stroud","HOU","551.0","347.4","3,878.3","23.5","11.4","54.4","238.6","1.0","3.5","260.7"
"","low","529.0","339.0","3,759.0","21.0","12.1","51.0","218.0","1.0","3.9","245.7"
"Daniel Jones","IND","468.0","307.6","3,426.6","21.9","9.7","52.0","197.5","4.0","3.8","250.8"
"","low","358.0","240.0","2,688.0","16.0","11.2","31.0","117.0","3.0","4.5","228.1"
"Bryce Young","CAR","512.7","325.5","3,363.1","22.1","12.4","58.3","257.5","3.0","3.0","248.6"
"","low","492.0","316.0","3,200.0","20.3","15.0","55.0","229.0","2.1","4.0","237.5"
"Geno Smith","NYJ","520.2","340.4","3,455.8","21.8","14.8","57.3","209.6","1.0","2.2","233.2"
"","low","490.0","309.0","2,935.0","20.3","16.0","56.0","157.0","1.0","3.4","232.0"
"Jacoby Brissett","ARI","541.2","347.4","3,590.4","19.7","10.4","48.7","215.1","1.4","4.8","232.4"
"","low","516.6","327.1","3,359.2","15.0","12.0","43.0","178.0","1.0","6.0","199.7"
"Cam Ward","TEN","563.8","345.0","3,587.8","19.8","10.4","44.2","185.5","2.0","5.4","232.2"
"","low","558.4","331.0","3,347.0","16.4","11.0","37.0","149.0","1.0","6.0","218.8"
"Aaron Rodgers","PIT","526.9","338.9","3,479.1","21.7","9.4","26.0","82.5","0.6","2.7","222.9"
"","low","475.0","300.0","3,024.0","20.0","11.1","21.0","68.0","0.0","3.5","218.0"
"Fernando Mendoza","LV","430.6","275.5","2,887.2","16.1","12.2","50.4","227.1","1.3","2.7","192.7"
"","low","418.0","264.0","2,630.0","14.2","16.0","48.0","217.0","1.0","3.4","187.4"
"Tua Tagovailoa","ATL","379.3","248.7","2,723.3","15.8","8.3","19.6","46.6","0.1","2.3","164.4"
"","low","301.9","204.1","2,168.9","10.4","10.0","15.9","42.0","0.0","2.5","114.5"
"Deshaun Watson","CLE","306.8","189.2","2,023.5","10.4","7.4","44.7","197.3","1.3","3.3","136.3"
"","low","288.0","184.0","1,985.0","8.3","8.0","42.0","189.0","1.0","4.0","123.8"
"Shedeur Sanders","CLE","238.1","143.6","1,581.8","8.7","6.5","24.4","143.8","0.9","1.2","108.9"
"","low","214.0","128.0","1,324.0","7.1","8.0","20.0","119.3","0.6","1.4","96.5"
"Michael Penix Jr.","ATL","189.1","119.1","1,350.1","7.2","3.7","13.5","46.9","0.3","1.0","83.5"
"","low","83.0","53.0","611.0","4.0","5.1","6.0","18.0","0.0","1.9","37.0"
"Riley Leonard","IND","101.4","63.8","708.6","3.9","3.3","11.1","43.7","0.5","0.2","48.0"
"","low","22.7","14.6","158.1","0.8","6.0","1.2","5.4","0.1","0.2","9.4"
"Kirk Cousins","LV","114.0","74.1","783.9","5.1","3.9","5.2","9.0","0.1","0.9","47.2"
"","low","103.0","69.0","675.0","4.2","5.0","3.0","7.0","0.0","1.0","38.0"
"J.J. McCarthy","MIN","48.6","30.2","340.2","2.1","1.4","5.9","27.0","0.2","0.4","23.8"
"","low","19.0","12.0","136.0","1.0","2.3","4.0","18.0","0.0","0.8","7.0"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"","low","21.9","13.5","146.4","1.2","1.0","1.1","4.8","0.0","0.2","10.1"
"Carson Beck","ARI","49.1","30.9","337.8","2.2","1.2","5.2","20.1","0.1","0.2","23.1"
"","low","18.0","12.0","116.0","1.0","2.0","2.0","7.0","0.0","0.5","8.0"
"Anthony Richardson Sr.","IND","35.0","23.0","254.0","2.0","1.0","9.0","38.0","0.0","0.0","21.0"
"","low","35.0","23.0","254.0","2.0","1.0","9.0","38.0","0.0","0.0","15.0"
"Marcus Mariota","WAS","34.8","22.2","256.6","2.0","0.8","1.4","7.9","0.0","0.1","18.1"
"","low","22.6","14.3","166.2","1.0","1.0","1.0","6.0","0.0","0.2","10.2"
"Davis Mills","HOU","27.2","16.7","182.5","1.3","0.5","2.7","9.0","0.0","0.1","12.7"
"","low","23.0","14.0","146.4","0.8","1.0","1.0","3.9","0.0","0.1","8.4"
"Joe Milton III","DAL","23.9","15.3","172.5","1.1","0.5","3.5","16.3","0.0","0.1","12.2"
"","low","22.8","14.8","159.4","1.0","1.0","1.4","5.9","0.0","0.2","9.0"
"Justin Fields","KC","26.2","16.3","175.1","1.0","0.8","3.6","18.4","0.1","0.1","12.0"
"","low","20.6","12.8","140.2","0.9","1.0","2.8","15.3","0.0","0.2","7.0"
