"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"416",14,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","+175"
"417",15,"Ben Sauls",NYG,"K30","8","-","-","2 out of 5 stars","-116"
"418",15,"Jordan Whittington",LAR,"WR145","11","-","-","1 out of 5 stars","-64"
"419",15,"Mitchell Evans",CAR,"TE58","5","-","-","2 out of 5 stars","-"
"420",15,"Tyler Goodson",ATL,"RB113","11","-","-","2 out of 5 stars","-"
"421",15,"Daniel Bellinger",TEN,"TE59","9","-","-","3 out of 5 stars","+181"
"422",15,"Terrell Jennings",FA,"RB114","-","-","-","-","-"
"423",15,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-21"
"424",15,"Elijah Higgins",ARI,"TE60","14","-","-","2 out of 5 stars","-56"
"425",15,"Austin Hooper",ATL,"TE61","11","-","-","3 out of 5 stars","+139"
"426",15,"Isaiah Williams",NYJ,"WR146","13","-","-","4 out of 5 stars","-"
"427",15,"Tommy Myers",FA,"TE62","-","-","-","-","-"
"428",15,"Spencer Shrader",IND,"K31","13","-","-","4 out of 5 stars","-115"
"429",15,"Miami Dolphins",MIA,"DST30","6","-","-","3 out of 5 stars","-146"
"430",15,"Odell Beckham Jr.",NYG,"WR147","8","-","-","4 out of 5 stars","-88"
"431",15,"Dyami Brown",WAS,"WR148","7","-","-","2 out of 5 stars","+145"
"432",15,"Greg Dortch",DET,"WR149","6","-","-","4 out of 5 stars","+33"
"433",15,"Dameon Pierce",FA,"RB115","-","-","-","-","-"
"434",15,"Zavier Scott",MIN,"RB116","6","-","-","4 out of 5 stars","-"
"435",15,"Hunter Luepke",DAL,"RB117","14","-","-","4 out of 5 stars","+159"
"436",15,"Austin Ekeler",FA,"RB118","-","-","-","-","+98"
"437",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-48"
"438",15,"Deion Burks",IND,"WR150","13","-","-","4 out of 5 stars","-"
"439",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-135"
"440",15,"Van Jefferson",WAS,"WR151","7","-","-","2 out of 5 stars","+70"
"441",15,"Jake Moody",FA,"K33","-","-","-","-","-114"
"442",15,"Zach Ertz",FA,"TE63","-","-","-","-","+99"
"443",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-148"
"444",15,"Jacob Saylors",DET,"RB119","6","-","-","5 out of 5 stars","-"
"445",15,"Jonnu Smith",GB,"TE64","11","-","-","2 out of 5 stars","-44"
"446",15,"Damien Martinez",GB,"RB120","11","-","-","4 out of 5 stars","-"
"447",15,"Marlin Klein",HOU,"TE65","8","-","-","4 out of 5 stars","-10"
"448",15,"Matt Hibner",BAL,"TE66","13","-","-","4 out of 5 stars","-"
"449",15,"Isaiah Williams",FA,"WR152","-","-","-","-","-"
"450",15,"Alec Ingold",LAC,"RB121","7","-","-","3 out of 5 stars","-"
"451",15,"Reggie Gilliam",NE,"RB122","11","-","-","2 out of 5 stars","+173"
"452",15,"Jeremy McNichols",WAS,"RB123","7","-","-","4 out of 5 stars","-"
"453",15,"Tai Felton",MIN,"WR153","6","-","-","5 out of 5 stars","+32"
"454",15,"Josh Williams",TB,"RB124","10","-","-","2 out of 5 stars","-120"
"455",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-158"
"456",15,"Elijah Moore",PHI,"WR154","10","-","-","4 out of 5 stars","+196"
"457",15,"Jahdae Walker",CHI,"WR155","10","-","-","3 out of 5 stars","-42"
"458",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+56"
"459",15,"Mitch Tinsley",FA,"WR156","-","-","-","-","+152"
"460",15,"Khalil Herbert",SF,"RB125","8","-","-","2 out of 5 stars","+195"
"461",15,"Patrick Ricard",NYG,"RB126","8","-","-","4 out of 5 stars","+33"
"462",15,"Tyler Badie",DEN,"RB127","10","-","-","2 out of 5 stars","-"
"463",15,"Will Kacmarek",MIA,"TE67","6","-","-","5 out of 5 stars","-68"
"464",15,"Dylan Laube",LV,"RB128","13","-","-","2 out of 5 stars","-"
"465",15,"Ronnie Rivers",LAR,"RB129","11","-","-","5 out of 5 stars","+194"
"466",15,"Roman Hemby",LV,"RB130","13","-","-","2 out of 5 stars","-"
"467",15,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","+38"
"468",15,"DeAndre Hopkins",BAL,"WR157","13","-","-","4 out of 5 stars","+67"
"469",15,"Josh Oliver",MIN,"TE68","6","-","-","4 out of 5 stars","-111"
"470",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+89"
"471",15,"Dohnte Meyers",CIN,"WR158","6","-","-","4 out of 5 stars","-"
"472",15,"Robert Henry Jr.",WAS,"RB132","7","-","-","4 out of 5 stars","-"
"473",15,"Tanner Koziol",JAC,"TE69","7","-","-","3 out of 5 stars","+77"
"474",15,"Tyler Lockett",LV,"WR159","13","-","-","2 out of 5 stars","-"
"475",15,"Jordan Watkins",SF,"WR160","8","-","-","2 out of 5 stars","-"
"476",15,"Adam Prentice",DEN,"RB133","10","-","-","2 out of 5 stars","-"
"477",15,"Lew Nichols III",PIT,"RB134","9","-","-","2 out of 5 stars","-"
"478",15,"Jacob Cowing",SF,"WR161","8","-","-","2 out of 5 stars","-"
"479",15,"Antonio Gibson",FA,"RB135","-","-","-","-","+205"
"480",15,"Xavier Smith",LAR,"WR162","11","-","-","1 out of 5 stars","+65"
"481",15,"British Brooks",HOU,"RB136","8","-","-","4 out of 5 stars","-"
"482",15,"Cade Stover",HOU,"TE70","8","-","-","4 out of 5 stars","-16"
"483",15,"Jimmy Horn Jr.",CAR,"WR163","5","-","-","2 out of 5 stars","-75"
"484",15,"Tim Patrick",NYJ,"WR164","13","-","-","4 out of 5 stars","+159"
"485",15,"Nathan Carter",ATL,"RB137","11","-","-","2 out of 5 stars","-"
"486",15,"Marquez Valdes-Scantling",FA,"WR165","-","-","-","-","+17"
"487",16,"Moliki Matavao",NO,"TE71","8","-","-","2 out of 5 stars","-"
"488",16,"Jackson Hawes",BUF,"TE72","7","-","-","3 out of 5 stars","-14"
"489",16,"Tyrod Taylor",GB,"QB49","11","-","-","4 out of 5 stars","-144"
"490",16,"Chris Blair",ATL,"WR166","11","-","-","3 out of 5 stars","-"
"491",16,"Jake Browning",FA,"QB50","-","-","-","-","0"
"492",16,"Michael Woods II",DEN,"WR167","10","-","-","2 out of 5 stars","-"
"493",16,"Sam Roush",CHI,"TE73","10","-","-","2 out of 5 stars","-7"
"494",16,"Xavier Restrepo",TEN,"WR168","9","-","-","3 out of 5 stars","-"
"495",16,"Quinn Ewers",JAC,"QB51","7","-","-","4 out of 5 stars","-129"
"496",16,"Drew Sample",CIN,"TE74","6","-","-","3 out of 5 stars","-33"
"497",16,"Adam Trautman",DEN,"TE75","10","-","-","4 out of 5 stars","-93"
"498",16,"Jalen Reagor",MIA,"WR169","6","-","-","3 out of 5 stars","-"
"499",16,"Dominic Zvada",NYG,"K35","8","-","-","2 out of 5 stars","-139"
"500",16,"Kene Nwangwu",NYJ,"RB138","13","-","-","3 out of 5 stars","-"
