"Player","Team","REC","YDS","TDS","FL","FPTS"
"Josh Whyle","GB","9.0","86.0","1.0","0.0","14.6"
"Devin Culp","TB","7.3","76.2","1.2","0.0","14.5"
"Durham Smythe","BAL","9.8","94.1","0.7","0.1","13.7"
"Payne Durham","TB","7.6","80.9","0.8","0.0","12.9"
"Max Klare","LAR","7.5","82.6","0.7","0.0","12.3"
"Oscar Delp","NO","7.5","75.7","0.6","0.0","11.3"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","10.5"
"Joe Royer","CLE","6.9","64.3","0.6","0.0","9.9"
"Ian Thomas","LV","6.9","61.9","0.6","0.0","9.6"
"Blake Whiteheart","CLE","7.1","62.9","0.3","0.1","8.2"
"Jack Stoll","CLE","5.5","47.5","0.5","0.0","7.8"
"Luke Farrell","SF","4.3","41.2","0.3","0.0","5.9"
"Brevyn Spann-Ford","DAL","3.9","36.8","0.3","0.0","5.6"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","5.3"
"Tanner Koziol","JAC","3.9","36.6","0.3","0.0","5.3"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","5.3"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","5.2"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","5.2"
"Lucas Krull","DEN","3.9","35.4","0.3","0.0","5.1"
"Sam Roush","CHI","3.6","33.8","0.3","0.0","5.0"
"Drew Ogletree","IND","3.7","35.3","0.3","0.0","5.0"
"Tip Reiman","ARI","3.8","34.5","0.2","0.0","4.6"
"Riley Nowakowski","PIT","4.3","29.0","0.2","0.0","3.8"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","2.3"
"Johnny Mundt","PHI","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
