"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ben Sims","MIA","TE58","0.0","0.0","0.0","21.2","201.1","1.2","0.0","27.5"
"DJ Giddens","IND","RB82","33.6","141.5","1.0","8.6","56.7","0.3","0.2","27.3"
"Davis Allen","LAR","TE59","0.0","0.0","0.0","16.9","157.3","1.9","0.0","26.9"
"Sean Tucker","TB","RB83","34.4","145.4","2.0","0.5","3.0","0.0","0.1","26.6"
"Jordan Whittington","LAR","WR131","2.3","12.1","0.1","15.0","172.0","1.2","0.2","26.2"
"Ty Chandler","NO","RB84","54.0","144.0","1.0","12.0","57.0","0.0","0.0","26.1"
"Bryce Lance","NO","WR132","0.0","0.0","0.0","16.4","204.3","0.9","0.2","25.7"
"John Bates","WAS","TE60","0.0","0.0","0.0","18.4","173.7","1.6","0.6","25.5"
"Dont'e Thornton Jr.","LV","WR133","0.0","0.0","0.0","15.1","210.5","0.8","0.2","25.2"
"Marlin Klein","HOU","TE61","0.0","0.0","0.0","19.5","193.7","1.1","0.5","25.0"
"Elijah Mitchell","PHI","RB85","35.0","159.0","1.0","2.0","22.0","0.0","0.0","24.1"
"Jam Miller","NE","RB86","34.0","156.0","1.0","2.0","25.0","0.0","0.0","24.1"
"LeQuint Allen Jr.","JAC","RB87","8.0","33.9","0.2","21.7","148.0","0.8","0.1","24.1"
"Phil Mafah","DAL","RB88","32.0","142.0","1.0","4.0","34.0","0.0","0.0","23.6"
"Elijah Higgins","ARI","TE62","0.0","0.0","0.0","21.9","196.2","0.8","0.6","23.5"
"Devontez Walker","BAL","WR134","0.0","0.0","0.0","11.6","166.4","1.2","0.1","23.4"
"Odell Beckham Jr.","NYG","WR135","0.5","2.7","0.0","14.3","175.8","1.0","0.1","23.4"
"Devin Singletary","NYG","RB89","35.6","142.7","1.0","4.2","26.3","0.1","0.1","23.0"
"Mitchell Evans","CAR","TE63","0.0","0.0","0.0","15.0","138.1","1.5","0.1","22.5"
"Salvon Ahmed","CHI","RB90","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Nick Vannett","LAR","TE64","0.0","0.0","0.0","11.0","103.0","2.0","0.0","22.3"
"Nate Boerkircher","JAC","TE65","0.0","0.0","0.0","14.9","155.8","1.3","0.5","22.2"
"Jarquez Hunter","LAR","RB91","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.2"
"Dameon Pierce","PHI","RB92","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","RB93","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.1"
"Jeremy Ruckert","NYJ","TE66","0.0","0.0","0.0","19.7","145.8","1.3","0.0","22.1"
"Brashard Smith","KC","RB94","25.0","89.0","0.5","10.5","71.0","0.5","0.0","22.0"
"Trevor Etienne","CAR","RB95","24.8","105.6","0.6","8.2","59.2","0.3","0.1","21.5"
"Jonah Coleman","DEN","RB96","26.2","109.4","0.8","5.9","42.7","0.2","0.1","21.2"
"Donovan Edwards","MIA","RB97","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Carlos Washington Jr.","MIA","RB98","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Malachi Fields","NYG","WR136","0.0","0.0","0.0","13.2","157.5","0.9","0.1","20.9"
"Audric Estime","NO","RB99","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Najee Harris","LAC","RB100","28.0","126.0","1.0","2.0","18.0","0.0","0.0","20.4"
"Demond Claiborne","MIN","RB101","27.7","121.5","0.9","3.3","25.2","0.1","0.1","20.4"
"Jeremy McNichols","WAS","RB102","17.0","88.0","1.0","7.0","54.0","0.0","0.0","20.2"
"Jackson Hawes","BUF","TE67","0.0","0.0","0.0","10.6","115.1","1.4","0.0","20.1"
"Grant Calcaterra","PHI","TE68","0.0","0.0","0.0","12.8","132.5","1.1","0.0","20.0"
"Seth McGowan","IND","RB103","22.3","97.1","1.2","3.2","26.9","0.1","0.0","20.0"
"Ben Sinnott","WAS","TE69","0.0","0.0","0.0","11.8","116.3","1.4","0.0","19.9"
"Nate Adkins","DEN","TE70","0.0","0.0","0.0","11.9","88.3","1.8","0.0","19.8"
"Konata Mumpfield","LAR","WR137","0.0","0.0","0.0","9.9","126.7","1.2","0.1","19.4"
"Drew Sample","CIN","TE71","0.0","0.0","0.0","15.1","123.1","1.1","0.1","18.6"
"Will Mallory","IND","TE72","0.0","0.0","0.0","11.0","125.0","1.0","0.0","18.5"
"Kaytron Allen","WAS","RB104","23.6","110.8","0.7","3.1","25.5","0.1","0.0","18.4"
"Tahj Brooks","CIN","RB105","30.5","129.3","0.9","0.0","0.0","0.0","0.1","18.3"
"Jack Endries","CIN","TE73","0.0","0.0","0.0","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","TE74","0.0","0.0","0.0","9.3","105.7","1.3","0.0","18.3"
"Cade Stover","HOU","TE75","0.0","0.0","0.0","15.3","128.1","0.9","0.1","17.9"
"Hayden Rucci","SF","TE76","0.0","0.0","0.0","12.0","118.0","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","TE77","0.0","0.0","0.0","13.2","121.7","0.9","0.0","17.8"
"Brenen Thompson","LAC","WR138","2.1","11.3","0.1","9.5","120.9","0.7","0.1","17.8"
"Tanner Conner","NYG","TE78","0.0","0.0","0.0","10.0","113.0","1.0","0.0","17.3"
"Mack Hollins","NE","WR139","0.0","0.0","0.0","10.8","126.7","0.8","0.1","17.2"
"KeAndre Lambert-Smith","LAC","WR140","0.0","0.0","0.0","9.6","120.8","0.9","0.1","17.0"
"Teagan Quitoriano","ARI","TE79","0.0","0.0","0.0","12.0","108.0","1.0","0.0","16.8"
"Zaire Mitchell-Paden","NO","TE80","0.0","0.0","0.0","11.0","107.0","1.0","0.0","16.7"
"Devin Neal","NO","RB106","22.5","89.5","1.0","2.5","17.5","0.0","0.0","16.7"
"Dallen Bentley","DEN","TE81","0.0","0.0","0.0","12.0","105.0","1.0","0.0","16.5"
"Hunter Luepke","DAL","RB107","13.3","56.1","0.4","8.6","61.8","0.4","0.1","16.4"
"Charlie Woerner","ATL","TE82","0.0","0.0","0.0","14.5","127.4","0.6","0.0","16.3"
"Will Shipley","PHI","RB108","9.3","39.6","0.3","11.3","83.2","0.4","0.1","16.2"
"Tanner Hudson","CIN","TE83","0.0","0.0","0.0","13.1","110.2","0.9","0.1","16.1"
"Mo Alie-Cox","IND","TE84","0.0","0.0","0.0","10.9","110.7","0.9","0.1","16.1"
"Thomas Fidone II","NYG","TE85","0.0","0.0","0.0","10.0","101.0","1.0","0.0","16.1"
"Cam Grandy","CIN","TE86","0.0","0.0","0.0","13.0","100.0","1.0","0.0","16.0"
"Jaheim Bell","PIT","TE87","0.0","0.0","0.0","10.0","98.0","1.0","0.0","15.8"
"Kyle Williams","NE","WR141","4.1","22.3","0.2","6.4","91.5","0.6","0.1","15.6"
"Jaren Kanak","TEN","TE88","0.0","0.0","0.0","10.0","96.0","1.0","0.0","15.6"
"Connor Heyward","LV","TE89","4.2","17.6","0.1","9.0","65.9","1.1","0.0","15.5"
"Jared Wiley","KC","TE90","0.0","0.0","0.0","11.0","95.0","1.0","0.0","15.5"
"Tyler Badie","DEN","RB109","4.1","17.6","0.1","12.0","98.7","0.5","0.1","15.5"
"Drake Dabney","GB","TE91","0.0","0.0","0.0","9.0","94.0","1.0","0.0","15.4"
"Nicholas Singleton","TEN","RB110","20.3","83.4","0.6","4.3","29.9","0.2","0.1","15.4"
"Jerome Ford","WAS","RB111","17.5","97.0","0.5","4.0","23.5","0.0","0.0","15.1"
"Tez Johnson","TB","WR142","4.4","23.2","0.2","6.6","77.8","0.6","0.1","14.9"
"Josh Whyle","GB","TE92","0.0","0.0","0.0","9.0","86.0","1.0","0.0","14.6"
"Devin Culp","TB","TE93","0.0","0.0","0.0","7.3","76.2","1.2","0.0","14.5"
"Durham Smythe","BAL","TE94","0.0","0.0","0.0","9.8","94.1","0.7","0.1","13.7"
"Payne Durham","TB","TE95","0.0","0.0","0.0","7.6","80.9","0.8","0.0","12.9"
"Isaiah Bond","CLE","WR143","4.3","23.5","0.1","5.6","73.7","0.4","0.1","12.9"
"Mitch Tinsley","CIN","WR144","0.0","0.0","0.0","6.6","84.0","0.8","0.1","12.9"
"Isaac Guerendo","SF","RB112","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Xavier Smith","LAR","WR145","0.0","0.0","0.0","7.2","89.3","0.7","0.1","12.7"
"Max Klare","LAR","TE96","0.0","0.0","0.0","7.5","82.6","0.7","0.0","12.3"
"Michael Burton","CLE","RB113","6.6","13.8","0.6","5.1","33.2","0.6","0.0","11.4"
"Oscar Delp","NO","TE97","0.0","0.0","0.0","7.5","75.7","0.6","0.0","11.3"
"Cyrus Allen","KC","WR146","0.0","0.0","0.0","6.4","79.7","0.5","0.1","10.8"
"Hunter Long","JAC","TE98","0.0","0.0","0.0","5.0","44.5","1.0","0.0","10.5"
"Andrew Beck","NYJ","TE99","0.5","4.0","0.0","4.6","31.6","1.1","0.0","10.2"
"Greg Dortch","DET","WR147","4.6","24.0","0.4","4.1","39.8","0.3","0.1","10.0"
"Joe Royer","CLE","TE100","0.0","0.0","0.0","6.9","64.3","0.6","0.0","9.9"
"Ian Thomas","LV","TE101","0.0","0.0","0.0","6.9","61.9","0.6","0.0","9.6"
"Anthony Gould","IND","WR148","0.0","0.0","0.0","7.0","74.3","0.3","0.1","9.3"
"Bo Melton","GB","WR149","4.5","26.0","0.1","2.9","37.6","0.3","0.1","8.6"
"Alec Ingold","LAC","RB114","2.1","8.6","0.1","7.9","58.2","0.2","0.1","8.4"
"Blake Whiteheart","CLE","TE102","0.0","0.0","0.0","7.1","62.9","0.3","0.1","8.2"
"Mason Tipton","NO","WR150","4.3","23.6","0.2","3.3","37.5","0.2","0.1","7.8"
"Jack Stoll","CLE","TE103","0.0","0.0","0.0","5.5","47.5","0.5","0.0","7.8"
"Tyrell Shavers","BUF","WR151","0.0","0.0","0.0","4.0","52.2","0.3","0.0","6.9"
"Derius Davis","LAC","WR152","2.1","11.0","0.1","3.5","37.8","0.3","0.1","6.7"
"Adam Prentice","DEN","RB115","4.1","17.4","0.1","4.1","29.7","0.2","0.0","6.3"
"Ben Skowronek","PIT","WR153","0.0","0.0","0.0","5.4","51.0","0.2","0.0","6.3"
"David Moore","CAR","WR154","2.1","11.4","0.1","3.1","36.7","0.2","0.1","6.3"
"CJ Daniels","LAR","WR155","0.0","0.0","0.0","3.4","42.8","0.3","0.0","6.3"
"Isaiah Williams","NYJ","WR156","2.2","12.7","0.1","3.8","35.8","0.1","0.1","6.2"
"Colbie Young","CIN","WR157","0.0","0.0","0.0","3.5","43.2","0.3","0.0","6.2"
"Luke Farrell","SF","TE104","0.0","0.0","0.0","4.3","41.2","0.3","0.0","5.9"
"Brevyn Spann-Ford","DAL","TE105","0.0","0.0","0.0","3.9","36.8","0.3","0.0","5.6"
"Zavion Thomas","CHI","WR158","0.0","0.0","0.0","3.1","37.8","0.3","0.0","5.6"
"Malachi Corley","CLE","WR159","6.4","43.8","0.2","0.0","0.0","0.0","0.1","5.5"
"Jonathan Mingo","DAL","WR160","0.0","0.0","0.0","2.9","40.7","0.3","0.0","5.5"
"Justin Watson","HOU","WR161","0.0","0.0","0.0","3.1","41.6","0.2","0.0","5.4"
"CJ Dippre","NE","TE106","0.0","0.0","0.0","3.9","37.3","0.3","0.0","5.3"
"Tanner Koziol","JAC","TE107","0.0","0.0","0.0","3.9","36.6","0.3","0.0","5.3"
"Josh Cuevas","BAL","TE108","0.0","0.0","0.0","3.3","35.8","0.3","0.0","5.3"
"Tyler Conklin","DET","TE109","0.0","0.0","0.0","3.7","38.0","0.3","0.0","5.2"
"Darius Cooper","PHI","WR162","0.0","0.0","0.0","3.3","37.6","0.3","0.0","5.2"
"Eric Saubert","SEA","TE110","0.0","0.0","0.0","3.4","34.4","0.3","0.0","5.2"
"Max Bredeson","MIN","RB116","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Lucas Krull","DEN","TE111","0.0","0.0","0.0","3.9","35.4","0.3","0.0","5.1"
"Tai Felton","MIN","WR163","0.0","0.0","0.0","3.7","37.0","0.2","0.0","5.1"
"Sam Roush","CHI","TE112","0.0","0.0","0.0","3.6","33.8","0.3","0.0","5.0"
"Drew Ogletree","IND","TE113","0.0","0.0","0.0","3.7","35.3","0.3","0.0","5.0"
"Kaleb Johnson","PIT","RB117","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Reggie Virgil","ARI","WR164","0.0","0.0","0.0","3.4","39.3","0.1","0.0","4.7"
"Tip Reiman","ARI","TE114","0.0","0.0","0.0","3.8","34.5","0.2","0.0","4.6"
"Kaden Wetjen","PIT","WR165","2.1","11.6","0.1","1.6","18.8","0.1","0.0","4.0"
"Reggie Gilliam","NE","RB118","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Riley Nowakowski","PIT","TE115","0.0","0.0","0.0","4.3","29.0","0.2","0.0","3.8"
"Patrick Ricard","NYG","RB119","0.0","0.0","0.0","4.0","26.9","0.1","0.0","3.5"
"Arian Smith","NYJ","WR166","4.3","23.7","0.2","0.0","0.0","0.0","0.0","3.4"
"Jimmy Horn Jr.","CAR","WR167","4.1","24.7","0.1","0.0","0.0","0.0","0.0","3.0"
"British Brooks","HOU","RB120","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Chris Manhertz","NYG","TE116","0.0","0.0","0.0","1.8","16.3","0.1","0.0","2.3"
"Kameron Johnson","TB","WR168","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"JuJu Smith-Schuster","NYG","WR169","0.0","0.0","0.0","1.4","12.4","0.1","0.0","1.6"
"Braxton Berrios","NYG","WR170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Barion Brown","NO","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brycen Tremayne","CAR","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Mundt","PHI","TE117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE118","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
